dates UTC, chainage (m)
1984-07-15 00:44:31+00:00,183.6
1984-07-31 00:45:05+00:00,152.2
1984-08-16 00:45:37+00:00,169.0
1984-09-10 00:39:44+00:00,142.9
1984-11-04 00:45:46+00:00,150.0
1985-01-07 00:46:06+00:00,161.0
1985-07-27 00:39:53+00:00,146.8
1985-08-28 00:39:33+00:00,151.9
1985-12-09 00:43:54+00:00,144.5
1986-01-10 00:43:19+00:00,157.8
1986-04-09 00:35:13+00:00,143.6
1986-05-27 00:33:59+00:00,135.4
1986-06-12 00:33:30+00:00,134.8
1986-07-30 00:32:17+00:00,135.9
1986-08-22 00:37:13+00:00,119.5
1986-11-10 00:34:29+00:00,128.1
1987-02-14 00:36:34+00:00,148.7
1987-03-02 00:37:11+00:00,152.6
1987-03-18 00:37:47+00:00,151.1
1987-04-19 00:38:53+00:00,141.2
1987-05-21 00:39:47+00:00,160.6
1987-07-24 00:41:10+00:00,169.7
1987-08-09 00:41:41+00:00,162.1
1988-12-01 00:46:24+00:00,127.1
1988-12-26 00:39:57+00:00,148.2
1989-01-18 00:45:52+00:00,149.5
1989-01-27 00:39:36+00:00,122.0
1989-03-23 00:44:46+00:00,105.2
1989-08-07 00:36:33+00:00,101.5
1989-08-23 00:36:11+00:00,140.8
1989-10-26 00:34:47+00:00,148.3
1989-11-02 00:40:32+00:00,129.5
1989-11-18 00:39:55+00:00,111.9
1989-12-20 00:39:08+00:00,139.3
1990-01-05 00:38:33+00:00,140.1
1990-02-06 00:37:37+00:00,140.3
1990-02-22 00:37:07+00:00,140.0
1990-03-26 00:36:02+00:00,128.0
1990-04-11 00:36:00+00:00,143.7
1990-05-22 00:30:16+00:00,139.1
1990-05-29 00:36:00+00:00,151.2
1990-10-29 00:29:31+00:00,140.4
1990-11-05 00:35:16+00:00,100.3
1990-11-14 00:29:08+00:00,114.5
1990-12-07 00:35:04+00:00,138.1
1991-01-08 00:35:50+00:00,131.5
1991-01-17 00:30:21+00:00,122.9
1991-01-24 00:36:18+00:00,123.3
1991-02-25 00:36:50+00:00,132.5
1991-06-26 00:32:41+00:00,148.2
1991-10-16 00:34:11+00:00,124.3
1992-02-28 00:39:59+00:00,122.6
1992-03-31 00:39:54+00:00,134.0
1992-04-09 00:34:01+00:00,114.4
1992-05-11 00:33:46+00:00,121.4
1992-08-22 00:38:16+00:00,130.4
1992-11-26 00:36:52+00:00,126.2
1993-01-29 00:37:36+00:00,128.0
1993-03-11 00:31:48+00:00,117.2
1993-03-18 00:38:00+00:00,131.0
1993-05-21 00:38:19+00:00,131.2
1993-08-25 00:38:12+00:00,137.5
1993-09-10 00:38:10+00:00,127.6
1993-10-12 00:38:02+00:00,138.1
1993-10-28 00:37:56+00:00,155.1
1993-11-29 00:37:44+00:00,146.5
1993-12-24 00:31:21+00:00,144.3
1994-03-21 00:36:22+00:00,138.1
1994-04-22 00:35:46+00:00,141.1
1994-05-24 00:35:11+00:00,147.2
1994-06-02 00:28:50+00:00,144.3
1995-03-08 00:26:21+00:00,137.3
1995-08-08 00:13:24+00:00,140.1
1995-08-15 00:19:15+00:00,152.8
1995-08-24 00:12:39+00:00,157.4
1995-09-09 00:11:54+00:00,169.3
1995-10-27 00:09:45+00:00,155.0
1996-02-23 00:21:47+00:00,144.6
1996-04-27 00:25:50+00:00,136.1
1996-11-21 00:36:53+00:00,142.3
1996-12-07 00:37:39+00:00,132.0
1996-12-23 00:38:24+00:00,147.5
1997-01-08 00:39:10+00:00,130.4
1997-08-04 00:46:57+00:00,148.4
1997-11-08 00:49:42+00:00,150.1
1998-01-27 00:51:33+00:00,156.9
1998-03-16 00:52:26+00:00,146.5
